siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,ND1641OW,3/26/85 18:00,4/2/85 18:00,198503,5.63,3.2, ,0.08, ,0.012, ,0.01, ,0.025, ,0.04, ,0.31, ,0.05, ,0.33,1652.2,62.74,62.74,w ,            ,12/16/85
CO98,ND1870OW,4/2/85 18:00,4/9/85 18:00,198504,6.03,4.9, ,0.31, ,0.051, ,0.025, ,0.076, ,0.13, ,0.63, ,0.14, ,0.65,336.7,31.24,31.24,w ,            ,12/16/85
CO98,ND1953OW,4/9/85 18:00,4/16/85 18:00,198504,5.59,31.4, ,1.3, ,0.166, ,0.117, ,0.358, ,1.88, ,4.87, ,0.57, ,3.24,36.2,4.57,4.57,w ,            ,12/16/85
CO98,ND2221OW,4/16/85 18:00,4/23/85 18:00,198504,5.58,7.4, ,0.38, ,0.058, ,0.214, ,0.257,<,0.02, ,0.76, ,0.39, ,0.82,806.2,40.89,40.89,w ,            ,12/16/85
CO98,ND2394OW,4/23/85 18:00,4/30/85 17:00,198504,5.22,5.1, ,0.16, ,0.021, ,0.021, ,0.051, ,0.14, ,0.64, ,0.09, ,0.6,1541.2,31.5,31.5,w ,            ,2/13/86
CO98,ND2602OW,4/30/85 17:00,5/7/85 17:00,198505,5.47,8.4, ,0.36, ,0.049, ,0.054, ,0.092, ,0.34, ,1.09, ,0.13, ,1.29,1141.1,20.07,20.07,w ,            ,2/13/86
CO98,ND2746OW,5/7/85 17:00,5/14/85 17:00,198505,4.99,6.6, ,0.16, ,0.025, ,0.014, ,0.025, ,0.08, ,0.56, ,0.05, ,0.73,731.4,21.59,21.59,w ,            ,9/24/86
CO98,ND3142OW,5/14/85 17:00,5/21/85 17:00,198505,4.71,14.2, ,0.22, ,0.033, ,0.02, ,0.05, ,0.27, ,1.54, ,0.16, ,1.3,844.9,15.24,15.24,w ,            ,9/24/86
CO98,ND3156OW,5/21/85 17:00,5/28/85 17:00,198505,4.4,28.5, ,0.59, ,0.068, ,0.069, ,0.122, ,0.72, ,3.62, ,0.24, ,2.52,294.3,9.91,9.91,w ,            ,9/24/86
CO98,ND3312OW,5/28/85 17:00,6/4/85 17:00,198505,5.56,11.1, ,0.8, ,0.098, ,0.094, ,0.167, ,0.04, ,1.75, ,0.29, ,1.5,431.8,6.35,6.35,w ,            ,9/26/86
CO98,ND3554OW,6/4/85 17:00,6/11/85 17:00,198506,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,491.4,9.91,9.91,  ,c           ,9/24/86
CO98,ND3714OW,6/11/85 17:00,6/18/85 17:00,198506,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,341.5,9.65,9.65,  ,c           ,9/24/86
CO98,ND3897OW,6/18/85 17:00,6/25/85 17:00,198506,4.79,10.1, ,0.19, ,0.03, ,0.087, ,0.042, ,0.13, ,0.87, ,0.09, ,0.96,1241.9,18.8,18.8,w ,            ,9/24/86
CO98,ND4074OW,6/25/85 17:00,7/2/85 17:00,198506,4.8,11.3, ,0.23, ,0.041, ,0.122, ,0.057, ,0.15, ,1.03, ,0.12, ,1.07,919.3,20.83,20.83,w ,            ,2/27/86
CO98,ND4295OW,7/2/85 17:00,7/9/85 17:00,198507,4.84,22.9, ,1.01, ,0.144, ,0.32, ,0.142, ,0.82, ,3.43, ,0.49, ,2.99,151.7,2.54,2.54,w ,            ,9/30/86
CO98,ND4466OW,7/9/85 17:00,7/16/85 17:00,198507,4.57,22.6, ,0.37, ,0.069, ,0.243, ,0.067, ,0.76, ,2.54, ,0.24, ,2.35,424,11.68,11.68,w ,            ,9/30/86
CO98,ND4716OW,7/16/85 17:00,7/23/85 17:00,198507,4.93,7.2, ,0.05, ,0.015, ,0.016, ,0.019, ,0.07, ,0.5, ,0.11, ,0.45,2136.3,32.77,32.77,w ,            ,9/24/86
CO98,ND4815OW,7/23/85 17:35,7/30/85 17:00,198507,4.72,12.3, ,0.1, ,0.015, ,0.018, ,0.016, ,0.21, ,1.23, ,0.08, ,0.82,1012.7,16.51,16.51,w ,            ,9/24/86
CO98,ND5301OW,7/30/85 17:00,8/6/85 17:00,198508,4.57,22.7, ,0.66, ,0.124, ,0.066, ,0.211, ,0.4, ,2.78, ,0.34, ,2.4,197.1,5.08,5.08,w ,            ,9/24/86
CO98,ND5305OW,8/6/85 17:00,8/13/85 17:00,198508,5.07,8.1, ,0.26, ,0.053, ,0.025, ,0.072, ,0.14, ,1.03, ,0.13, ,0.82,668.4,14.73,14.73,w ,            ,9/24/86
CO98,ND5469OW,8/13/85 17:00,8/20/85 17:00,198508,4.63,20.8, ,0.7, ,0.114, ,0.044, ,0.196, ,0.24, ,1.88, ,0.3, ,2.65,210.4,4.06,4.06,w ,            ,9/24/86
CO98,ND5702OW,8/20/85 17:00,8/27/85 17:00,198508,-9,-9, ,-9, ,-9, ,-9, ,-9,<,-9, ,-9, ,-9, ,-9,15,7.62,7.62,  ,c           ,10/15/86
CO98,ND5897OW,8/27/85 17:00,9/3/85 17:00,198508,4.74,16.9, ,0.44, ,0.081, ,0.051, ,0.083, ,0.33, ,1.99, ,0.15, ,1.69,1001.3,19.81,19.81,w ,            ,9/24/86
CO98,ND6071OW,9/3/85 17:00,9/10/85 17:00,198509,4.98,7.9, ,0.15, ,0.028, ,0.01, ,0.056, ,0.22, ,0.88, ,0.08, ,0.74,1354.7,24.64,24.64,w ,            ,9/24/86
CO98,ND6391OW,9/10/85 17:00,9/17/85 17:00,198509,4.58,16.5, ,0.13, ,0.028, ,0.012, ,0.018, ,0.24, ,1.33, ,0.05, ,1.59,802.2,18.29,18.29,w ,            ,9/24/86
CO98,ND6450OW,9/17/85 17:00,9/24/85 17:00,198509,4.69,11.8, ,0.1, ,0.022, ,0.014, ,0.034,<,0.02, ,0.7, ,0.07, ,1.04,835.3,22.35,22.35,w ,            ,9/24/86
CO98,ND6659OW,9/24/85 17:00,10/1/85 17:00,198509,5.19,4.8, ,0.15, ,0.022, ,0.016, ,0.02,<,0.02, ,0.39, ,0.06, ,0.49,1958.7,40.39,40.39,w ,            ,9/24/86
CO98,ND6761OW,10/1/85 17:00,10/8/85 17:00,198510,-9,-9, ,-9, ,-9, ,-9, ,-9,<,-9,<,-9, ,-9, ,-9,1026,-9.99,15.112,  ,u           ,9/24/86
CO98,ND7030OW,10/8/85 17:00,10/15/85 17:00,198510,5,5.6, ,0.04, ,0.012, ,0.005, ,0.017,<,0.02, ,0.46,<,0.03, ,0.39,1434.1,31.75,31.75,w ,            ,9/24/86
CO98,ND7232OW,10/15/85 17:00,10/22/85 17:00,198510,5.06,16.8, ,0.51, ,0.136, ,0.063, ,0.198,<,0.21, ,1.67,<,0.31, ,1.67,10,3.3,3.3,wa,            ,10/15/86
CO98,ND7427OW,10/22/85 17:00,10/29/85 18:00,198510,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,6.9,0.51,0.51,  ,v           ,7/9/86
CO98,ND7606OW,10/29/85 18:00,11/5/85 18:00,198511,5.24,7.1, ,0.15, ,0.063, ,0.005, ,0.039,<,0.02, ,0.14, ,0.11, ,0.71,56.1,7.37,7.37,w ,            ,9/24/86
CO98,ND7778OW,11/5/85 18:00,11/12/85 18:40,198511,5.34,3.8, ,0.07, ,0.016,<,0.003, ,0.028,<,0.02,<,0.03,<,0.03, ,0.24,1492.3,88.14,88.14,w ,            ,9/24/86
CO98,ND8007OW,11/12/85 18:40,11/19/85 18:00,198511,4.87,7.1, ,0.04, ,0.008, ,0.004, ,0.016,<,0.02, ,0.43,<,0.03, ,0.24,969,35.56,35.56,w ,            ,8/13/92
